id,ticker,strategy_source,strategy_id,behavior,entry_rule,timeframe,selected_version,status,outcome,entry_date,entry_price,shares,capital,avg_dollar_volume,liquidity_cap,technical_initial_stop_price,initial_stop_price,stop_price,highest_price,exit_price,hold_days,held_sessions,latest_price,market_value,unrealized_pnl,unrealized_pnl_pct,realized_pnl,realized_pnl_pct,close_date,close_time_et,close_price,close_reason
E5M-0097,PANW,V3,PANW_swing_raw_rsi_10_30_4_5_none,raw_rsi_recovery_swing,raw_rsi_recovery,swing,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-19,165.445,40,6617.8,931006684.96,9310066.85,160.13,160.13,168.7539,169.435,172.0628,5,1,165.445,0.0,0.0,0.0,132.36,2.0,2024-07-22,09:40:00,168.7539,5m trailing/technical stop
E5M-0098,PANW,V3,PANW_monthly_raw_rsi_10_30_6_10_none,raw_rsi_recovery_monthly,raw_rsi_recovery,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-19,165.445,24,3970.68,931006684.96,9310066.85,154.625,154.625,168.7539,169.435,175.3717,10,1,165.445,0.0,0.0,0.0,79.41,2.0,2024-07-22,09:40:00,168.7539,5m trailing/technical stop
E5M-0099,AVGO,V2,AVGO_swing_rsi_7_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-07-22,161.06,42,6764.52,6622106785.56,66221067.86,153.9,153.9,162.6706,162.87,169.113,10,1,161.06,0.0,0.0,-0.0,67.65,1.0,2024-07-23,10:00:00,162.6706,5m trailing/technical stop
E5M-0100,LRCX,V3,LRCX_monthly_raw_pullback_3_5_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,LOSS,2024-07-22,97.706,41,4005.95,1000563648.63,10005636.49,91.55,91.55,91.55,97.7275,103.5684,25,2,95.969,0.0,0.0,-1.78,-252.4,-6.3,2024-07-24,15:50:00,91.55,5m trailing/technical stop
E5M-0101,MRVL,V3,MRVL_monthly_raw_pullback_3_3_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-22,69.01,36,2484.36,731381825.06,7313818.25,66.0,66.0,69.7001,69.83,73.1506,25,1,69.01,0.0,0.0,0.0,24.84,1.0,2024-07-23,09:50:00,69.7001,5m trailing/technical stop
E5M-0102,AVGO,V2,AVGO_swing_rsi_7_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-07-26,151.63,44,6671.72,5959457876.9,59594578.77,145.52,145.52,154.6626,154.83,159.2115,10,1,151.63,0.0,0.0,0.0,133.43,2.0,2024-07-29,09:40:00,154.6626,5m trailing/technical stop
E5M-0103,AVGO,V2,AVGO_swing_rsi_7_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,LOSS,2024-07-31,160.68,42,6748.56,5458405432.18,54584054.32,144.6514,144.6514,144.6514,160.68,168.714,10,2,147.02,0.0,0.0,-8.5,-673.2,-9.98,2024-08-02,09:30:00,144.6514,5m trailing/technical stop
E5M-0104,AVGO,V2,AVGO_monthly_rsi_14_30,v1_success_monthly,v1_rsi_recovery,monthly,v31_from_v2:v2_from_v1_success,CLOSED,LOSS,2024-07-31,160.68,25,4017.0,5458405432.18,54584054.32,143.35,143.35,143.35,160.68,176.748,21,2,147.02,0.0,0.0,-8.5,-433.25,-10.79,2024-08-02,09:30:00,143.35,5m trailing/technical stop
E5M-0105,ANET,V2,ANET_swing_rsi_14_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-07-31,86.6375,28,2425.85,794033510.57,7940335.11,79.4179,79.4179,89.2366,89.4275,90.9694,10,1,86.6375,0.0,0.0,-0.0,72.77,3.0,2024-08-01,09:35:00,89.2366,5m trailing/technical stop
E5M-0106,ANET,V2,ANET_monthly_rsi_21_45,v1_success_monthly,v1_rsi_recovery,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-07-31,86.6375,17,1472.84,794033510.57,7940335.11,76.78,76.78,89.2366,89.4275,95.3012,21,1,86.6375,0.0,0.0,-0.0,44.18,3.0,2024-08-01,09:35:00,89.2366,5m trailing/technical stop
