cash,date,open_trades,value
19833.02,2024-08-26,0,19833.02
19833.02,2024-08-27,0,19833.02
19833.02,2024-08-28,0,19833.02
19833.02,2024-08-29,0,19833.02
12017.66,2024-08-30,1,19833.02
19477.34,2024-09-03,0,19477.34
19477.34,2024-09-04,0,19477.34
19477.34,2024-09-05,0,19477.34
19477.34,2024-09-06,0,19477.34
19477.34,2024-09-09,0,19477.34
19477.34,2024-09-10,0,19477.34
19477.34,2024-09-11,0,19477.34
19477.34,2024-09-12,0,19477.34
19477.34,2024-09-13,0,19477.34
19477.34,2024-09-16,0,19477.34
19477.34,2024-09-17,0,19477.34
19477.34,2024-09-18,0,19477.34
19477.34,2024-09-19,0,19477.34
11824.64,2024-09-20,1,19477.34
19553.87,2024-09-23,0,19553.87
19553.87,2024-09-24,0,19553.87
11776.91,2024-09-25,1,19553.87
11992.92,2024-09-26,1,19864.95
11992.92,2024-09-27,1,19717.37
11992.92,2024-09-30,1,19704.68
19501.17,2024-10-01,0,19501.17
11862.18,2024-10-02,1,19501.17
19577.56,2024-10-03,0,19577.56
11887.06,2024-10-04,1,19577.56
11887.06,2024-10-07,1,19580.71
11878.47,2024-10-08,1,19654.47
7155.45,2024-10-09,2,19574.37
7155.45,2024-10-10,2,19220.97
11925.7,2024-10-11,1,19480.75
19362.85,2024-10-14,0,19362.85
12851.23,2024-10-15,1,19362.85
19558.2,2024-10-16,0,19558.2
19558.2,2024-10-17,0,19558.2
19558.2,2024-10-18,0,19558.2
11797.86,2024-10-21,1,19558.2
11797.86,2024-10-22,1,19551.72
11797.86,2024-10-23,1,19334.1
7171.41,2024-10-24,2,19380.0
7360.42,2024-10-25,2,19579.81
11982.41,2024-10-28,1,19570.49
4860.94,2024-10-29,3,19609.91
2940.7,2024-10-30,4,19379.14
9238.42,2024-10-31,2,18730.65
11748.87,2024-11-01,1,19060.47
11748.87,2024-11-04,1,19095.57
7054.24,2024-11-05,2,19304.01
4801.22,2024-11-06,3,19727.65
5013.17,2024-11-07,3,20096.81
7887.35,2024-11-08,2,20530.04
7985.66,2024-11-11,2,20934.44
7985.66,2024-11-12,2,20772.38
5318.33,2024-11-13,3,20691.57
10012.13,2024-11-14,2,20395.57
12589.82,2024-11-15,1,20114.76
12589.82,2024-11-18,1,20017.77
12589.82,2024-11-19,1,20381.35
12589.82,2024-11-20,1,20321.99
13652.54,2024-11-21,1,20638.27
13652.54,2024-11-22,1,20664.32
20708.13,2024-11-25,0,20708.13
12471.13,2024-11-26,1,20708.13
20501.13,2024-11-27,0,20501.13
12397.13,2024-11-29,1,20501.13
13770.33,2024-12-02,1,20744.25
12574.64,2024-12-03,1,20813.99
14054.56,2024-12-04,1,21143.56
8512.21,2024-12-05,2,20856.76
8882.6,2024-12-06,2,21142.28
9092.58,2024-12-09,2,20971.44
14822.49,2024-12-10,1,21223.29
9300.48,2024-12-11,2,21504.09
14877.71,2024-12-12,1,21418.31
8986.29,2024-12-13,2,22179.38
9342.58,2024-12-16,2,22881.6
11293.96,2024-12-17,2,22757.36
22539.81,2024-12-18,0,22539.81
22539.81,2024-12-19,0,22539.81
22539.81,2024-12-20,0,22539.81
22539.81,2024-12-23,0,22539.81
22539.81,2024-12-24,0,22539.81
22539.81,2024-12-26,0,22539.81
22539.81,2024-12-27,0,22539.81
22539.81,2024-12-30,0,22539.81
22539.81,2024-12-31,0,22539.81
22539.81,2025-01-02,0,22539.81
13581.31,2025-01-03,1,22539.81
22898.15,2025-01-06,0,22898.15
22898.15,2025-01-07,0,22898.15
22898.15,2025-01-08,0,22898.15
22898.15,2025-01-10,0,22898.15
22898.15,2025-01-13,0,22898.15
22898.15,2025-01-14,0,22898.15
22898.15,2025-01-15,0,22898.15
22898.15,2025-01-16,0,22898.15
22898.15,2025-01-17,0,22898.15
13906.16,2025-01-21,1,22898.15
23077.99,2025-01-22,0,23077.99
23077.99,2025-01-23,0,23077.99
23077.99,2025-01-24,0,23077.99
23077.99,2025-01-27,0,23077.99
13954.15,2025-01-28,1,23077.99
15296.91,2025-01-29,1,23169.23
8658.88,2025-01-30,2,23799.02
24499.51,2025-01-31,0,24499.51
24499.51,2025-02-03,0,24499.51
24499.51,2025-02-04,0,24499.51
24499.51,2025-02-05,0,24499.51
24499.51,2025-02-06,0,24499.51
24499.51,2025-02-07,0,24499.51
24499.51,2025-02-10,0,24499.51
24499.51,2025-02-11,0,24499.51
24499.51,2025-02-12,0,24499.51
24499.51,2025-02-13,0,24499.51
24499.51,2025-02-14,0,24499.51
16170.01,2025-02-18,1,24499.51
16170.01,2025-02-19,1,23964.01
16170.01,2025-02-20,1,23925.01
16170.01,2025-02-21,1,23542.51
23496.01,2025-02-24,0,23496.01
23496.01,2025-02-25,0,23496.01
23496.01,2025-02-26,0,23496.01
23496.01,2025-02-27,0,23496.01
23496.01,2025-02-28,0,23496.01
23496.01,2025-03-03,0,23496.01
23496.01,2025-03-04,0,23496.01
23496.01,2025-03-05,0,23496.01
23496.01,2025-03-06,0,23496.01
23496.01,2025-03-07,0,23496.01
23496.01,2025-03-10,0,23496.01
23496.01,2025-03-11,0,23496.01
23496.01,2025-03-12,0,23496.01
23496.01,2025-03-13,0,23496.01
23496.01,2025-03-14,0,23496.01
23496.01,2025-03-17,0,23496.01
23496.01,2025-03-18,0,23496.01
23496.01,2025-03-19,0,23496.01
23496.01,2025-03-20,0,23496.01
23496.01,2025-03-21,0,23496.01
23496.01,2025-03-24,0,23496.01
23496.01,2025-03-25,0,23496.01
23496.01,2025-03-26,0,23496.01
23496.01,2025-03-27,0,23496.01
23496.01,2025-03-28,0,23496.01
23496.01,2025-03-31,0,23496.01
23496.01,2025-04-01,0,23496.01
23496.01,2025-04-02,0,23496.01
23496.01,2025-04-03,0,23496.01
23496.01,2025-04-04,0,23496.01
23496.01,2025-04-07,0,23496.01
23496.01,2025-04-08,0,23496.01
23496.01,2025-04-09,0,23496.01
23496.01,2025-04-10,0,23496.01
23496.01,2025-04-11,0,23496.01
23496.01,2025-04-14,0,23496.01
23496.01,2025-04-15,0,23496.01
23496.01,2025-04-16,0,23496.01
23496.01,2025-04-17,0,23496.01
23496.01,2025-04-21,0,23496.01
23496.01,2025-04-22,0,23496.01
23496.01,2025-04-23,0,23496.01
23496.01,2025-04-24,0,23496.01
23496.01,2025-04-25,0,23496.01
23496.01,2025-04-28,0,23496.01
23496.01,2025-04-29,0,23496.01
23496.01,2025-04-30,0,23496.01
23496.01,2025-05-01,0,23496.01
23496.01,2025-05-02,0,23496.01
14141.14,2025-05-05,1,23496.01
14141.14,2025-05-06,1,23312.8
23683.11,2025-05-07,0,23683.11
23683.11,2025-05-08,0,23683.11
23683.11,2025-05-09,0,23683.11
14276.67,2025-05-12,1,23683.11
14500.27,2025-05-13,1,24059.37
9085.34,2025-05-14,2,24824.1
9085.34,2025-05-15,2,24548.79
18917.73,2025-05-16,1,24893.4
24769.47,2025-05-19,0,24769.47
24769.47,2025-05-20,0,24769.47
24769.47,2025-05-21,0,24769.47
24769.47,2025-05-22,0,24769.47
24769.47,2025-05-23,0,24769.47
14971.44,2025-05-27,1,24769.47
14971.44,2025-05-28,1,24607.74
24867.45,2025-05-29,0,24867.45
24867.45,2025-05-30,0,24867.45
14969.85,2025-06-02,1,24867.45
24966.43,2025-06-03,0,24966.43
24966.43,2025-06-04,0,24966.43
14988.58,2025-06-05,1,24966.43
25565.1,2025-06-06,0,25565.1
25565.1,2025-06-09,0,25565.1
15459.42,2025-06-10,1,25565.1
15459.42,2025-06-11,1,25392.9
15459.42,2025-06-12,1,25176.42
24928.07,2025-06-13,0,24928.07
10029.88,2025-06-16,2,24928.07
20184.05,2025-06-17,1,24937.09
20184.05,2025-06-18,1,24966.77
20184.05,2025-06-20,1,24755.3
20184.05,2025-06-23,1,25057.4
7352.4,2025-06-24,3,25217.46
