avg_dollar_volume,behavior,capital,close_date,close_price,close_reason,close_time_et,entry_date,entry_price,entry_rule,exit_price,held_sessions,highest_price,hold_days,id,initial_stop_price,latest_price,liquidity_cap,market_value,outcome,realized_pnl,realized_pnl_pct,selected_version,shares,status,stop_cap_pct,stop_price,strategy_id,strategy_source,technical_initial_stop_price,ticker,timeframe,unrealized_pnl,unrealized_pnl_pct
1750830473.96,اختراق,79048.83,2025-09-25,83.2936,تحقق الهدف - تنفيذ خمس دقائق,12:15:00,2025-09-24,80.09,قاعدة اختراق,83.2936,1,80.09,8,V31-0637,74.6291,80.09,17508304.74,0.0,WIN,3161.95,4.0,السياسة المعتمدة,987,CLOSED,,74.6291,MRVL_swing_breakout_approved,معتمد,74.6291,MRVL,swing,0.0,-0.0
1848723465.51,اختراق,80373.79,2025-09-30,85.0671,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-09-25,83.81,قاعدة اختراق,87.1624,3,85.09,8,V31-0638,77.4886,82.39,18487234.66,0.0,TRAILING_WIN,1205.56,1.5,السياسة المعتمدة,959,CLOSED,,85.0671,MRVL_swing_breakout_approved,معتمد,77.4886,MRVL,swing,0.0,-1.69
31305658836.11,اختراق,80789.14,2025-10-03,190.3116,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-09-30,186.58,قاعدة اختراق,205.238,3,191.05,21,V31-0639,170.8204,188.89,313056588.36,0.0,TRAILING_WIN,1615.78,2.0,السياسة المعتمدة,433,CLOSED,,190.3116,NVDA_monthly_breakout_approved,معتمد,170.8204,NVDA,monthly,0.0,1.24
8101474924.02,ارتداد,48341.55,2025-10-03,346.7256,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-10-01,333.39,ارتداد زخم,350.0595,2,347.57,10,V31-0640,324.53,338.18,81014749.24,0.0,TRAILING_WIN,1933.66,4.0,السياسة المعتمدة,145,CLOSED,,346.7256,AVGO_swing_rebound_approved,معتمد,324.53,AVGO,swing,0.0,1.44
38058795664.42,اختراق,28945.98,2025-10-03,468.6492,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-10-01,459.46,قاعدة اختراق,477.8384,2,470.75,10,V31-0641,422.4497,436.0,380587956.64,0.0,TRAILING_WIN,578.92,2.0,السياسة المعتمدة,63,CLOSED,,468.6492,TSLA_swing_breakout_approved,معتمد,422.4497,TSLA,swing,0.0,-5.11
38058795664.42,اختراق,17459.48,2025-10-03,468.6492,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-10-01,459.46,قاعدة اختراق,487.0276,2,470.75,10,V31-0642,403.9446,436.0,380587956.64,0.0,TRAILING_WIN,349.19,2.0,السياسة المعتمدة,38,CLOSED,,468.6492,TSLA_monthly_breakout_approved,معتمد,403.9446,TSLA,monthly,0.0,-5.11
7177406997.46,اختراق,10523.26,2025-10-06,178.2165,تحقق الهدف - تنفيذ خمس دقائق,09:30:00,2025-10-02,169.73,قاعدة اختراق,178.2165,2,170.68,10,V31-0643,159.4366,164.67,71774069.97,0.0,WIN,526.16,5.0,السياسة المعتمدة,62,CLOSED,,170.5786,AMD_swing_breakout_approved,معتمد,159.4366,AMD,swing,0.0,-2.98
9076604221.15,اختراق,82706.26,2025-10-07,213.8955,تحقق الهدف - تنفيذ خمس دقائق,09:30:00,2025-10-06,203.71,قاعدة اختراق,213.8955,1,203.71,10,V31-0644,184.4293,203.71,90766042.21,0.0,WIN,4135.31,5.0,السياسة المعتمدة,406,CLOSED,,184.4293,AMD_swing_breakout_approved,معتمد,184.4293,AMD,swing,0.0,0.0
6473672710.77,ارتداد,84438.91,2025-10-09,346.5023,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-10-07,336.41,ارتداد زخم,370.051,2,346.53,21,V31-0645,324.53,345.5,64736727.11,0.0,TRAILING_WIN,2533.17,3.0,السياسة المعتمدة,251,CLOSED,,346.5023,AVGO_monthly_rebound_approved,معتمد,324.53,AVGO,monthly,0.0,2.7
11364007072.33,اختراق,50645.4,2025-10-10,239.0934,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-10-08,235.56,قاعدة اختراق,247.338,2,240.1,10,V31-0646,212.6804,232.89,113640070.72,0.0,TRAILING_WIN,759.68,1.5,السياسة المعتمدة,215,CLOSED,,239.0934,AMD_swing_breakout_approved,معتمد,212.6804,AMD,swing,0.0,-1.13
